num,fips,date_range_start,weighted_average
28,06015,2020-06-27,10176.527813625646
29,06015,2020-07-04,9925.708546453296
30,06015,2020-07-11,10573.02872824685
31,06015,2020-07-18,10910.577843992389
32,06015,2020-07-25,10386.006249263166
33,06015,2020-08-01,11394.585530386097
34,06015,2020-08-08,11524.982767941892
35,06015,2020-08-15,11237.321438726049
36,06015,2020-08-22,10236.862809453169
37,06015,2020-08-29,10258.544453727985
38,06015,2020-09-05,9209.63645570296
39,06015,2020-09-12,8189.062487841989
40,06015,2020-09-19,9858.492831874813
41,06015,2020-09-26,10282.942936101233
42,06015,2020-10-03,9630.981075528085
43,06015,2020-10-10,9562.564497580532
44,06015,2020-10-17,9290.233263283688
45,06015,2020-10-24,10272.019094808684
46,06015,2020-10-31,9514.320365779757
47,06015,2020-11-08,9224.489418676383
1,06017,2019-12-21,13910.054752095271
2,06017,2019-12-28,14192.513964632819
3,06017,2020-01-04,14037.687920721432
4,06017,2020-01-11,13975.774656108359
5,06017,2020-01-18,14833.947023144441
6,06017,2020-01-25,14577.940130441864
7,06017,2020-02-01,13173.809545779512
8,06017,2020-02-08,13694.943196627331
9,06017,2020-02-15,14839.966744971152
10,06017,2020-02-22,14024.536599985478
11,06017,2020-02-29,13278.046302213614
12,06017,2020-03-07,12912.872524897517
13,06017,2020-03-14,9676.598806930544
14,06017,2020-03-21,8934.701576833695
15,06017,2020-03-28,8310.982226125447
16,06017,2020-04-04,7392.819778259752
17,06017,2020-04-11,8180.728635311585
18,06017,2020-04-18,8644.51945916366
19,06017,2020-04-25,9408.054847710804
20,06017,2020-05-02,9174.16364645612
21,06017,2020-05-09,9732.719426712029
22,06017,2020-05-16,10154.48073236206
23,06017,2020-05-23,10743.550280403937
24,06017,2020-05-30,11202.708271403584
25,06017,2020-06-06,11397.988023068689
26,06017,2020-06-13,11949.271006669655
27,06017,2020-06-20,12149.922321742348
28,06017,2020-06-27,12172.097180931347
29,06017,2020-07-04,12522.616075118749
30,06017,2020-07-11,12288.22767164301
31,06017,2020-07-18,12262.491963546385
32,06017,2020-07-25,12695.559562008779
33,06017,2020-08-01,13020.594712972934
34,06017,2020-08-08,12682.063267233672
35,06017,2020-08-15,12790.583292280904
36,06017,2020-08-22,13081.685240824547
37,06017,2020-08-29,12776.215178924578
38,06017,2020-09-05,12069.619777809206
39,06017,2020-09-12,11583.922830473604
40,06017,2020-09-19,12066.303348545602
41,06017,2020-09-26,12905.348457666461
42,06017,2020-10-03,12208.327535280383
43,06017,2020-10-10,12139.959686381122
44,06017,2020-10-17,12136.427384707784
45,06017,2020-10-24,12409.009757704953
46,06017,2020-10-31,11779.292628298877
47,06017,2020-11-08,11185.629841239153
1,06019,2019-12-21,9653.479339907302
2,06019,2019-12-28,10135.334854983506
3,06019,2020-01-04,9943.553376779659
4,06019,2020-01-11,9752.559209436073
5,06019,2020-01-18,10216.648202380766
